Status,Order,Icon,Title,Description
TRUE,1,Store,500+ Exhibitors,"OEMs, component makers, EV pioneers and allied industries across 80,000+ sq.m. of premium showcase space."
TRUE,2,Rocket,50+ Global Launches,"Witness world & India premieres, concept unveilings and next-gen model debuts on a grand stage."
TRUE,3,Zap,EV & Future Mobility Zone,"Electric, hybrid, hydrogen and autonomous vehicles charting the road to a sustainable tomorrow."
TRUE,4,Crown,Classic & Vintage Pavilion,A curated hall of restored legends and rare classics celebrating a century of motoring heritage.
TRUE,5,Flame,Live Stunt & Drift Arena,"Heart-pounding precision driving, drift battles and stunt shows by champion international drivers."
TRUE,6,Presentation,Global Mobility Summit,"150+ speakers across 20 sessions decoding policy, technology and the future of transportation."
TRUE,7,Car,Test Drive Track,Get behind the wheel. Experience the latest cars and EVs on a purpose-built handling circuit.
TRUE,8,Users,B2B Networking Lounge,Pre-screened buyer-seller meetings with 10000+ delegates and curated deal rooms.
TRUE,9,Lightbulb,Startup & Innovation Hub,50+ mobility startups showcase breakthrough tech to investors and industry leaders.
TRUE,10,Briefcase,Career & Talent Fair,Connect top engineering and EV talent with leading employers across the automotive value chain.
