Status,Order,Category,Category Icon,Category Blurb,Category Color,Short Name,Full Name,Role,Logo URL
TRUE,1,Government Partners,Landmark,Backed by ministries and state agencies driving India's mobility policy.,bg-brand-700,MHI,"Ministry of Heavy Industries, Govt. of India",Principal Government Partner,
TRUE,2,Government Partners,Landmark,Backed by ministries and state agencies driving India's mobility policy.,bg-brand-700,MoRTH,Ministry of Road Transport & Highways,Policy Partner,
TRUE,3,Government Partners,Landmark,Backed by ministries and state agencies driving India's mobility policy.,bg-brand-700,GoK,Government of Karnataka,State Partner,
TRUE,4,Government Partners,Landmark,Backed by ministries and state agencies driving India's mobility policy.,bg-brand-700,IK,Invest Karnataka,Investment Promotion Partner,
TRUE,5,Industry Associations,Handshake,The leading trade bodies representing every artery of the auto industry.,bg-accent-700,SIAM,Society of Indian Automobile Manufacturers,Strategic Partner,
TRUE,6,Industry Associations,Handshake,The leading trade bodies representing every artery of the auto industry.,bg-accent-700,ACMA,Automotive Component Manufacturers Association,Partner Association,
TRUE,7,Industry Associations,Handshake,The leading trade bodies representing every artery of the auto industry.,bg-accent-700,FADA,Federation of Automobile Dealers Associations,Dealer Network Partner,
TRUE,8,Industry Associations,Handshake,The leading trade bodies representing every artery of the auto industry.,bg-accent-700,SAEIndia,Society of Automotive Engineers India,Technical Partner,
TRUE,9,Institutes & Academia,GraduationCap,Research and engineering powerhouses shaping tomorrow's mobility talent.,bg-gold-500,ARAI,Automotive Research Association of India,Testing & Compliance Partner,
TRUE,10,Institutes & Academia,GraduationCap,Research and engineering powerhouses shaping tomorrow's mobility talent.,bg-gold-500,ICAT,International Centre for Automotive Technology,Homologation Partner,
TRUE,11,Institutes & Academia,GraduationCap,Research and engineering powerhouses shaping tomorrow's mobility talent.,bg-gold-500,IISc,"Indian Institute of Science, Bengaluru",Research Partner,
TRUE,12,Institutes & Academia,GraduationCap,Research and engineering powerhouses shaping tomorrow's mobility talent.,bg-gold-500,IITM,Indian Institute of Technology Madras,Academic Partner,
TRUE,13,NGOs & Sustainability,Leaf,"Champions of clean air, green energy and safer roads across India.",bg-emerald-600,GMF,Green Mobility Foundation,Sustainability Partner,
TRUE,14,NGOs & Sustainability,Leaf,"Champions of clean air, green energy and safer roads across India.",bg-emerald-600,TERI,The Energy and Resources Institute,Green Insights Partner,
TRUE,15,NGOs & Sustainability,Leaf,"Champions of clean air, green energy and safer roads across India.",bg-emerald-600,CAB,Clean Air Bengaluru Collective,Environment Partner,
TRUE,16,NGOs & Sustainability,Leaf,"Champions of clean air, green energy and safer roads across India.",bg-emerald-600,SRT,Safer Roads Trust,Road Safety Partner,
